Process Seq,Process Stage,Product Type,Derived Wash Category,Order Type,Order Qty Band,,,SOP Lead Time (Days),VA,NNVA,NVA
1,Fabric Inhouse,All,All,All,All,,,1,0,0.1,0.9
2,Fabric QC,Shirt,Non-Wash,Repeat,All,,,1.5,0,1.5,0
2,Fabric QC,Shirt,Non-Wash,Non-Repeat,All,,,1.5,0,1.5,0
2,Fabric QC,Shirt,Basic Wash,All,All,,,1.5,0,1.5,0
2,Fabric QC,Shirt,Complex Wash,All,All,,,5,0,5,0
2,Fabric QC,Tape Shirt,Non-Wash,Repeat,All,,,2.5,0,2.5,0
2,Fabric QC,Knitted Shirt,Non-Wash,All,All,,,1.5,0,1.5,0
2,Fabric QC,Overshirt,Basic Wash,All,All,,,1.5,0,1.5,0
2,Fabric QC,All,All,All,All,,,1.5,0,1.5,0
3,File Release,All,All,All,All,,,0,0,0,0
4,Pre-Production,Shirt,Non-Wash,Repeat,All,,,1,0,1,0
4,Pre-Production,Shirt,Non-Wash,Non-Repeat,All,,,3.65,0,3.65,0
4,Pre-Production,Shirt,Basic Wash,Non-Repeat,All,,,4.65,0,4.65,0
4,Pre-Production,Shirt,Complex Wash,Non-Repeat,All,,,5.9,0,5.9,0
4,Pre-Production,Tape Shirt,Non-Wash,Repeat,All,,,3.6,0,3.6,0
4,Pre-Production,Knitted Shirt,Non-Wash,All,All,,,1.5,0,1.5,0
4,Pre-Production,Overshirt,Basic Wash,All,All,,,4.6,0,4.6,0
4,Pre-Production,All,All,All,All,,,1,0,1,0
5,CAD / Pattern,All,All,All,All,,,0.5,0,0.5,0
6,Cutting,Shirt,Non-Wash,Repeat,Q2,,,2.15,1.9,0.25,0
6,Cutting,Shirt,Non-Wash,Non-Repeat,Q2,,,3.15,1.9,1.25,0
6,Cutting,Shirt,Basic Wash,All,Q2,,,3.15,1.9,1.25,0
6,Cutting,Shirt,Complex Wash,All,Q2,,,3.15,1.9,1.25,0
6,Cutting,Tape Shirt,Non-Wash,Repeat,Q2,,,3.5,3,0.5,0
6,Cutting,Knitted Shirt,Non-Wash,All,Q2,,,3.75,2.5,1.25,0
6,Cutting,Overshirt,Basic Wash,All,Q1,,,3.15,1.9,1.25,0
6,Cutting,All,All,All,All,,,2.9,1.9,1,0
7,Sewing,Shirt,Non-Wash,Repeat,Q2,,,1.85,1.85,0,0
7,Sewing,Shirt,Non-Wash,Non-Repeat,Q2,,,1.85,1.85,0,0
7,Sewing,Shirt,Basic Wash,All,Q2,,,1.85,1.85,0,0
7,Sewing,Shirt,Complex Wash,All,Q2,,,1.85,1.85,0,0
7,Sewing,Tape Shirt,Non-Wash,Repeat,Q2,,,5,5,0,0
7,Sewing,Knitted Shirt,Non-Wash,All,Q2,,,2.15,2.15,0,0
7,Sewing,Overshirt,Basic Wash,All,Q1,,,3.25,3.25,0,0
7,Sewing,All,All,All,All,,,1.85,1.85,0,0
8,Washing,Shirt,Non-Wash,All,All,,,0,0,0,0
8,Washing,Shirt,Basic Wash,All,All,,,2.25,0,2.25,0
8,Washing,Shirt,Complex Wash,All,All,,,5.25,0,5.25,0
8,Washing,Tape Shirt,Non-Wash,All,All,,,0,0,0,0
8,Washing,Knitted Shirt,Non-Wash,All,All,,,0,0,0,0
8,Washing,Overshirt,Basic Wash,All,All,,,2,0,2,0
8,Washing,All,All,All,All,,,0,0,0,0
9,Finishing,Shirt,All,All,All,,,2,1,0,1
9,Finishing,Tape Shirt,All,All,All,,,3.5,2.5,0,1
9,Finishing,Knitted Shirt,All,All,All,,,2.35,1.35,0,1
9,Finishing,Overshirt,All,All,All,,,2,1,0,1
9,Finishing,All,All,All,All,,,2,1,0,1
10,Inspection,All,All,All,All,,,1.25,0,1.25,0
11,Dispatch,All,All,All,All,,,1.5,0,1.5,0
