Process Seq,Process Stage,Product Type,Wash Category,Order Type,Qty Band,G,H,I,SOP LT,VA,NNVA,NVA
1,Fabric Inhouse,All,All,All,All,,,,2,0,2,0
2,Fabric QC,All,All,All,All,,,,1,0.5,0.5,0
3,File Release,All,All,All,All,,,,1,0.5,0.5,0
4,Pre-Production,All,All,All,All,,,,2,1,1,0
5,CAD / Pattern,All,All,All,All,,,,3,2,1,0
6,Cutting,All,All,All,Q1,,,,4.9,1.9,0.8,2.2
6,Cutting,All,All,All,Q2,,,,5.4,1.9,0.9,2.6
6,Cutting,All,All,All,Q3,,,,5.9,1.9,1,3
6,Cutting,All,All,All,Q4,,,,6.9,1.9,1.2,3.8
6,Cutting,All,All,All,Q5,,,,7.4,1.9,1.5,4
7,Sewing,All,All,All,Q1,,,,8,6,1,1
7,Sewing,All,All,All,Q2,,,,10,7.5,1.5,1
7,Sewing,All,All,All,Q3,,,,12,9,2,1
7,Sewing,All,All,All,Q4,,,,15,11,2.5,1.5
7,Sewing,All,All,All,Q5,,,,18,13.5,3,1.5
8,Washing,All,Garment Wash,All,All,,,,5,3,1,1
8,Washing,All,Non Wash,All,All,,,,0,0,0,0
9,Finishing,All,All,All,Q1,,,,4,2,1,1
9,Finishing,All,All,All,Q2,,,,5,3,1,1
9,Finishing,All,All,All,Q3,,,,6,3.5,1.5,1
9,Finishing,All,All,All,Q4,,,,7,4,2,1
9,Finishing,All,All,All,Q5,,,,8,4.5,2.5,1
10,Inspection,All,All,All,All,,,,2,1.5,0.5,0
11,Dispatch,All,All,All,All,,,,1,0.5,0.5,0
